"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33099","test_delete_user[chromium]","tests.Automation_tests","Mon Jun 09 10:58:32 IST 2025","broken","Mon Jun 09 10:59:05 IST 2025","","test_User_management","",""
"","32470","test_add_multiple_users[chromium]","tests.Automation_tests","Mon Jun 09 10:59:17 IST 2025","broken","Mon Jun 09 10:59:50 IST 2025","","test_User_management","",""
"","32794","test_verify_user_addition[chromium]","tests.Automation_tests","Mon Jun 09 10:57:46 IST 2025","broken","Mon Jun 09 10:58:19 IST 2025","","test_User_management","",""
"","34490","test_search_user[chromium]","tests.Automation_tests","Mon Jun 09 11:00:38 IST 2025","broken","Mon Jun 09 11:01:12 IST 2025","","test_User_management","",""
"","30035","test_login_logout[chromium]","tests.Automation_tests","Mon Jun 09 10:59:59 IST 2025","broken","Mon Jun 09 11:00:29 IST 2025","","test_User_management","",""
